Drug	Manufacturer	Indication	H1 2025 Sales (M USD)	Notes
Keytruda	Merck	Oncology (PD-1)	15161.0	
Ozempic	Novo Nordisk	GLP-1 (T2D)	9456.0	H1 total of DKK 64.5B.
Mounjaro	Eli Lilly	GLP-1 (T2D)	9041.0	
Dupixent	Sanofi/Regeneron	Immunology (IL-4/13)	8026.0	H1 sales align with Sanofi’s global figure of €7.31B. Regeneron records collaboration revenue / profit share from Sanofi (not a second set of product sales).
Skyrizi	AbbVie	Immunology (IL-23)	7848.0	
Eliquis	BMS/Pfizer	Anticoagulant	7245.0	H1 sales reflect BMS’s reported global figure of $7.245B. BMS books global net product sales of Eliquis. Pfizer books “alliance revenues” (its share of the economics), not a second set of product sales.
Darzalex	J&J	Oncology (Myeloma)	6776.0	
Zepbound	Eli Lilly	GLP-1 (Obesity)	5693.0	
Wegovy	Novo Nordisk	GLP-1 (Obesity)	5421.0	H1 total of DKK 36.9B ($5.42B).
Opdivo	BMS	Oncology (PD-1)	4825.0	
Jardiance	Lilly/Boehringer	SGLT2 (T2D/HF)	4702.0	H1 sales reflect Boehringer Ingelheim’s global figure of €4.3B ($4.7B). Boehringer Ingelheim reports global net sales for Jardiance. Lilly generally reports royalties/profit-share related to the drug.
Entresto	Novartis	Cardiovascular	4618.0	
Farxiga	AstraZeneca	SGLT2 (T2D/HF)	4209.0
Forxiga	AstraZeneca	SGLT2 (T2D/HF)	4209.0
Ocrevus	Roche	Neurology (MS)	3900.0	H1 sales of CHF 3.506B confirmed. USD value updated to $3.9B to reflect a more accurate H1 2025 CHF-to-USD conversion rate.
Rinvoq	AbbVie	Immunology (JAK)	3746.0	
Tagrisso	AstraZeneca	Oncology (NSCLC)	3489.0	
Stelara	J&J	Immunology (IL-12/23)	3278.0	Steep YoY decline due to biosimilar entry
Cosentyx	Novartis	Immunology (IL-17)	3163.0	
Prevnar	Pfizer	Vaccine	3043.0	Represents the combined ‘Prevnar family’ as reported by Pfizer.
Verzenio	Eli Lilly	Oncology (CDK4/6)	2648.0	
Gardasil	Merck	Vaccine (HPV)	2453.0	
Shingrix	GSK	Vaccine	2336.0	H1 sales of £1.72B (~$2.3B).
Humira	AbbVie	Immunology (TNF)	2301.0	Significant YoY decline due to biosimilar competition confirmed as accurate.
Vabysmo	Roche	Ophthalmology	2250.0	H1 sales of CHF 2.067B confirmed. USD updated to ~$2.25B reflecting H1 CHF-to-USD conversion.
Tremfya	J&J	Immunology (IL-23)	2142.0	Q1, Q2, and H1 sales and growth rates confirmed per J&J product-level disclosures.
